title,release_year,duration_min,primary_genre,imdb_score,num_voted_users
Our Idiot Brother,2011,90.0,Comedies,6.4,74875
The Conjuring,2013,112.0,Horror Movies,7.5,300110
The Conjuring 2,2016,134.0,Horror Movies,7.8,64989
Middle of Nowhere,2012,102.0,Dramas,6.5,1034
Shutter Island,2010,139.0,Thrillers,8.1,786092
The Bank Job,2008,112.0,Dramas,7.3,152247
The Next Three Days,2010,133.0,Dramas,7.4,146364
Homefront,2013,100.0,Action & Adventure,6.5,82804
Playing for Keeps,2012,106.0,Comedies,5.7,23916
Case 39,2009,111.0,Horror Movies,6.2,60555
Into the Wild,2007,148.0,Action & Adventure,8.2,426359
Mystic Pizza,1988,104.0,Comedies,6.2,18286
Unknown,2011,113.0,Action & Adventure,6.9,210542
Unknown,2011,113.0,Action & Adventure,6.9,210548
What's Eating Gilbert Grape,1993,118.0,Classic Movies,7.8,171882
Rango,2011,110.0,Children & Family Movies,7.2,183208
Lee Daniels' The Butler,2013,132.0,Dramas,7.2,87665
Triple 9,2016,115.0,Dramas,6.3,32567
3 Days to Kill,2014,117.0,Action & Adventure,6.2,69355
Angels & Demons,2009,139.0,Thrillers,6.7,207839
Monster House,2006,91.0,Children & Family Movies,6.6,71137
Quigley Down Under,1990,120.0,Action & Adventure,6.8,15230
The Da Vinci Code,2006,149.0,Thrillers,6.6,314253
Machete Kills,2013,108.0,Action & Adventure,5.6,59248
Cloudy with a Chance of Meatballs 2,2013,95.0,Children & Family Movies,6.5,64387
Fruitvale Station,2013,85.0,Dramas,7.5,53919
Prom Night,2008,88.0,Horror Movies,3.9,27664
The Impossible,2012,114.0,Dramas,7.6,145270
Metallica Through The Never,2013,93.0,Music & Musicals,7.2,13359
ParaNorman,2012,93.0,Children & Family Movies,7.0,72287
Unfriended,2014,83.0,Horror Movies,5.7,44329
Free State of Jones,2016,139.0,Action & Adventure,6.7,3077
Rize,2005,87.0,Documentaries,7.1,2877
Real Steel,2011,127.0,Action & Adventure,7.1,254841
Raising Victor Vargas,2002,88.0,Dramas,7.2,4743
The Smurfs 2,2013,105.0,Children & Family Movies,5.4,27257
How to Train Your Dragon 2,2014,102.0,Children & Family Movies,7.9,221128
Hotel for Dogs,2009,101.0,Children & Family Movies,5.4,16271
Puss in Boots,2011,92.0,Children & Family Movies,6.7,114287
Sex Drive,2008,109.0,Comedies,6.5,72715
Soldier,1998,155.0,Comedies,6.0,44248
The Smurfs,2011,103.0,Children & Family Movies,5.5,66593
The Young Messiah,2016,111.0,Dramas,5.4,1449
Les Misérables,2012,158.0,Dramas,7.6,243834
Seventh Son,2014,102.0,Action & Adventure,5.5,54501
Mr. Peabody & Sherman,2014,93.0,Children & Family Movies,6.9,47900
Double Jeopardy,1999,105.0,Thrillers,6.4,56646
Stardust,2007,128.0,Action & Adventure,7.7,212085
